iteration,MSE_trg,MSE_val,MSE_tst,acc_trg,acc_val,acc_tst,elapsed
2010,0.176040531742,0.328814521466,0.338877140121,0.739666666667,0.528,0.522666666667,287.300010419
2020,0.176372663222,0.329335677483,0.339141883745,0.740666666667,0.53,0.524,288.729049883
2030,0.176659850559,0.329346606682,0.339473564223,0.74,0.53,0.523333333333,290.082934048
2040,0.175986859772,0.32946729816,0.339473190813,0.741333333333,0.53,0.523333333333,291.525133007
2050,0.176354190756,0.329794943688,0.339166659964,0.740666666667,0.53,0.523333333333,292.901656167
2060,0.177115624511,0.329734288742,0.339278855296,0.742,0.528,0.522,294.406704261
2070,0.17648997877,0.327773363796,0.340195514142,0.740666666667,0.532,0.522666666667,295.957498886
2080,0.175999183171,0.32768149096,0.340763481828,0.740333333333,0.532,0.522,297.402120755
2090,0.176048030729,0.327766532877,0.339850229294,0.74,0.532,0.523333333333,299.021899031
2100,0.175936064131,0.326105031272,0.340054929549,0.742,0.534,0.523333333333,300.581264908
2110,0.175900940047,0.326090868706,0.339781551978,0.741,0.532,0.522,301.931795791
2120,0.175954708709,0.325789810919,0.340279480747,0.741333333333,0.532,0.521333333333,303.415635406
2130,0.176473925618,0.327931019119,0.339363812153,0.741666666667,0.53,0.522,304.928940678
2140,0.176775140419,0.32807228959,0.339458265402,0.738,0.53,0.524666666667,306.36354458
2150,0.176087116979,0.328328461828,0.339398548868,0.739,0.53,0.525333333333,307.759223873
2160,0.176093236721,0.327008825266,0.339447632611,0.739,0.532,0.523333333333,309.088160305
2170,0.176622121703,0.326582112763,0.339393601312,0.738,0.53,0.523333333333,310.462856304
2180,0.176208634356,0.325630566978,0.340586443429,0.74,0.534,0.522,311.831263717
2190,0.176414869318,0.329108171769,0.340488748622,0.741333333333,0.528,0.523333333333,313.254236223
2200,0.176824672309,0.329632698346,0.341016780785,0.741333333333,0.532,0.524,314.691255532
2210,0.176491015175,0.329443552557,0.342031906099,0.740333333333,0.534,0.522,316.190054547
2220,0.176862524707,0.329861163408,0.341875948804,0.740666666667,0.534,0.520666666667,317.58157305
2230,0.177082043977,0.332077401682,0.342805290474,0.74,0.53,0.519333333333,319.023648354
2240,0.176506718729,0.332699410938,0.342489801767,0.741666666667,0.53,0.519333333333,320.423872432
2250,0.176673285297,0.33232829275,0.342769274218,0.739666666667,0.528,0.517333333333,321.844755457
2260,0.176221288774,0.334189979989,0.34293041784,0.740333333333,0.528,0.519333333333,323.226696092
2270,0.176272165148,0.334489709944,0.342997891644,0.739666666667,0.53,0.518666666667,324.640985543
2280,0.176277223302,0.333611972163,0.343291016212,0.74,0.526,0.518,326.198317249
2290,0.176921729996,0.334756527138,0.345006649144,0.738,0.526,0.517333333333,327.721715157
2300,0.176922706935,0.334846118283,0.345556601342,0.737666666667,0.526,0.515333333333,329.228820335
2310,0.176549694798,0.334631349979,0.345847625813,0.738,0.528,0.515333333333,330.70939082
2320,0.176582913514,0.334279040214,0.345510664771,0.738333333333,0.53,0.516,332.248830591
2330,0.176163027198,0.334073695279,0.34557891343,0.739333333333,0.532,0.516666666667,333.673634996
2340,0.1762411212,0.331616131728,0.345489214408,0.738,0.532,0.517333333333,335.16614147
2350,0.176408288,0.330943664771,0.345077831098,0.738333333333,0.532,0.518666666667,336.690596563
2360,0.176209397367,0.330213046937,0.345146802048,0.739666666667,0.532,0.518,337.991102401
2370,0.176068659748,0.330622778875,0.344943077069,0.740666666667,0.53,0.518666666667,339.390433643
2380,0.17637584335,0.329360363582,0.344923002693,0.738666666667,0.532,0.518,340.783784441
2390,0.176716252536,0.329107513482,0.345185172169,0.739,0.536,0.518,342.169226113
2400,0.176391922741,0.329260911066,0.344484894867,0.739,0.536,0.519333333333,343.627301798
2410,0.17612633828,0.329392190513,0.344591948406,0.738,0.536,0.518666666667,345.014769345
2420,0.17637240405,0.329771865883,0.345276790207,0.738,0.534,0.518,346.364132427
2430,0.176742221783,0.329693061831,0.345118390694,0.738666666667,0.54,0.518,347.623465755
2440,0.176739691885,0.329413036246,0.344678645332,0.738333333333,0.54,0.519333333333,349.011647571
2450,0.176413831337,0.329399171715,0.345218011866,0.739333333333,0.54,0.516666666667,350.371799384
2460,0.176058476338,0.328835611564,0.345139351334,0.738666666667,0.542,0.518,351.741487585
2470,0.176365854665,0.329092312847,0.344897221817,0.739,0.538,0.516666666667,353.120982001
2480,0.176666242004,0.328975648696,0.343172439099,0.738333333333,0.536,0.517333333333,354.541643002
2490,0.178114879199,0.328855812959,0.343835951528,0.735333333333,0.532,0.522666666667,355.884980211
2500,0.182367709431,0.328728586106,0.343034321477,0.729,0.526,0.522666666667,357.272373092
2510,0.181767975839,0.329627042061,0.343099113338,0.732333333333,0.52,0.521333333333,358.723246021
2520,0.184968294958,0.336512696415,0.34714766858,0.719333333333,0.512,0.508666666667,360.134359968
2530,0.181296005896,0.332103960021,0.343900735325,0.724666666667,0.52,0.515333333333,361.493387041
